symbol,marketCap,trailingPE,trailingEps,returnOnEquity,profitMargins,dividendYield
600519.SS,2102232219648,31.76638,52.65,0.31242,0.50755,0.012999999
600036.SS,834236186624,6.3270674,5.32,0.15045,0.48303002,0.044699997
000858.SZ,643067346944,22.430517,7.34,0.24496001,0.36630002,0.0183
601166.SS,352747585536,4.4103894,3.85,0.11979,0.52378,0.060599998
603259.SS,199541850112,21.23053,3.21,0.2085,0.23438999,0.0139
300059.SZ,223107989504,25.581818,0.55,0.13196999,0.69682,0.0047999998
600900.SS,551268581376,23.226805,0.97,0.114259996,0.39551,0.036
000001.SZ,228989616128,5.267857,2.24,0.11083999,0.42844,0.0239
601398.SS,1633867530240,5.123711,0.97,0.10393,0.48896,0.057600003
000568.SZ,312297816064,27.448229,7.63,0.32526,0.42398,0.015700001
603288.SS,275027820544,44.733944,1.09,0.22534001,0.23972,0.014199999
600809.SS,256845545472,27.535763,7.41,0.4035,0.3245,0.0087
601919.SS,154405371904,1.8944544,5.59,0.4562,0.26764,0.1882
002142.SZ,176646029312,7.642857,3.5,0.14513,0.4859,0.0186
600436.SS,179084181504,68.13126,4.19,0.22341,0.28441998,0.0042
002304.SZ,205553418240,20.237389,6.74,0.20186001,0.31622,0.0219
002460.SZ,120547491840,6.5226336,9.72,0.46820998,0.42216,0.0047
002027.SZ,97629274112,33.8,0.2,0.15037,0.3093,0.042
601229.SS,88507736064,4.5808825,1.36,0.10264,0.60588,0.0634
600570.SS,77615407104,58.357143,0.7,0.19985001,0.20341,0.0023999999
002049.SZ,75806760960,27.8746,3.11,0.29539,0.36685002,0.0038
601088.SS,561866801152,8.502873,3.48,0.17792,0.21215001,0.0858
601009.SS,89783320576,5.528662,1.57,0.1299,0.52379,0.0531
601225.SS,171310645248,4.8016305,3.68,0.39506,0.20799999,0.0758
600926.SS,72764538880,7.217647,1.7,0.12874,0.51255,0.028499998
601100.SS,76426739712,30.64516,1.86,0.21183,0.28968,0.013099999
601939.SS,1151794151424,5.102362,1.27,0.114779994,0.48354998,0.0547
600989.SS,92253667328,16.337662,0.77,0.17013,0.20041001,0.0255
000596.SZ,114607800320,35.943066,6.85,0.18924,0.20053,0.009
300033.SZ,91422130176,52.65094,3.18,0.29247,0.46567002,0.015
688396.SS,70466404352,29.491714,1.81,0.120340005,0.24039,0.0037
600018.SS,125035610112,8.136363,0.66,0.13354999,0.49105,0.035
603392.SS,87316258816,16.91646,4.07,0.47946998,0.42657003,0.0166
603195.SS,89528844288,28.349297,3.55,0.2742,0.229,0.0335
000568.SZ,174720450560,12.211933,9.72,0.33875,0.43791,0.045500003
000596.SZ,83485081600,16.57935,10.46,0.24576001,0.23634,0.025899999
000858.SZ,513537015808,15.9014435,8.32,0.255,0.36444,0.0548
002027.SZ,94885257216,18.25,0.36,0.3108,0.41577998,0.0654
002142.SZ,169316040704,6.5743585,3.9,0.1286,0.49131,0.0234
002304.SZ,120516001792,14.362657,5.57,0.15825,0.27639,0.0583
300033.SZ,156226568192,122.10084,2.38,0.19025,0.36375,0.0076
300059.SZ,370012127232,45.960785,0.51,0.108909994,0.81968004,0.0017
300408.SZ,72577851392,35.726418,1.06,0.11022,0.29167,0.0074
300760.SZ,283529117696,22.881605,10.22,0.31574,0.33370999,0.049200002
600018.SS,133402419200,9.711864,0.59,0.10623,0.34882998,0.0387
600025.SS,160559988736,20.744186,0.43,0.12037,0.32981998,0.0202
600036.SS,1017904693248,7.269643,5.6,0.13487001,0.49667,0.0495
600276.SS,273276354560,49.813953,0.86,0.12877,0.20958,0.0047
600436.SS,124132474880,40.34314,5.1,0.22051,0.28228,0.016900001
600674.SS,76482633728,15.086538,1.04,0.12611,3.21623,0.0255
600809.SS,217836060672,17.644268,10.12,0.40217,0.33816,0.024500001
600900.SS,709822447616,21.02174,1.38,0.16014999,0.38966998,0.0355
600919.SS,179108691968,6.921986,1.41,0.11581001,0.51872003,0.0795
600926.SS,88621654016,6.4823008,2.26,0.1374,0.57057,0.0608
601009.SS,116984528896,6.689873,1.58,0.11377,0.53019,0.083500005
601100.SS,83868286976,33.095238,1.89,0.17658001,0.26489002,0.0112
601336.SS,121697206272,7.446541,6.36,0.19915001,0.32107,0.0293
601838.SS,71223083008,5.8293514,2.93,0.1732,0.62051,0.0525
601939.SS,1442803351552,6.415385,1.3,0.103760004,0.53798,0.0716
603195.SS,90438279168,20.830357,3.36,0.30557,0.25884,0.044299997
603259.SS,151464460288,19.272728,2.75,0.15159,0.20943001,0.0187
603288.SS,235825053696,38.554546,1.1,0.21195999,0.23235,0.0156
605499.SS,126363156480,36.377247,6.68,0.47567,0.20366,0.0182
688008.SS,76323151872,62.89623,1.06,0.11542,0.35876998,0.0045
688111.SS,127726559232,87.666664,3.15,0.14448,0.29809,0.0032
