symbol,marketCap,trailingPE,trailingEps,returnOnEquity,profitMargins,dividendYield
600519.SS,2102232219648,31.76638,52.65,0.31242,0.50755,0.012999999
601318.SS,895043567616,9.152134,5.39,0.10402001,0.075279996,0.048699997
600036.SS,834236186624,6.3270674,5.32,0.15045,0.48303002,0.044699997
000858.SZ,643067346944,22.430517,7.34,0.24496001,0.36630002,0.0183
000333.SZ,392539865088,12.704546,4.4,0.20195,0.08696,0.043899998
600276.SS,281122504704,72.2459,0.61,0.100719996,0.18359,0.0034999999
002415.SZ,322659876864,25.766129,1.24,0.18257,0.14925,0.020299999
601166.SS,352747585536,4.4103894,3.85,0.11979,0.52378,0.060599998
601888.SS,240950788096,50.171677,2.33,0.123100005,0.08161,0.0128
603259.SS,199541850112,21.23053,3.21,0.2085,0.23438999,0.0139
300059.SZ,223107989504,25.581818,0.55,0.13196999,0.69682,0.0047999998
000651.SZ,200421883904,7.7707424,4.58,0.22452,0.1301,0.0845
600900.SS,551268581376,23.226805,0.97,0.114259996,0.39551,0.036
002594.SZ,732540829696,37.619595,6.94,0.18294,0.04178,0.0004
002475.SZ,197705973760,21.82677,1.27,0.19229999,0.04217,0.004
600887.SS,188637921280,19.753332,1.5,0.16712,0.07587,0.035099998
000001.SZ,228989616128,5.267857,2.24,0.11083999,0.42844,0.0239
000725.SZ,150872702976,49.625,0.08,-0.02953,0.020550001,0.0155
600030.SS,272687693824,14.014085,1.42,0.096190006,0.35017,0.026700001
300015.SZ,183676387328,65.63333,0.3,0.1842,0.15887,0.0050999997
601398.SS,1633867530240,5.123711,0.97,0.10393,0.48896,0.057600003
000568.SZ,312297816064,27.448229,7.63,0.32526,0.42398,0.015700001
600031.SS,131712040960,31.67347,0.49,0.06446,0.05341,0.010199999
600309.SS,276957331456,18.492662,4.77,0.19530001,0.08999,0.0184
603501.SS,113894432768,384.72,0.25,0.0148599995,0.01551,0.0055
000002.SZ,158687936512,7.4512815,1.95,0.09508,0.04441,0.0656
603288.SS,275027820544,44.733944,1.09,0.22534001,0.23972,0.014199999
002714.SZ,223167021056,12.670807,3.22,0.25902998,0.13192001,0.0061000003
